   2.3862372183611669e-01   2.3862485628600399e-01   2.3862605932918723e-01   2.3862733093721628e-01   2.3862867108002123e-01   2.3863007972590594e-01   2.3863155684155185e-01
   2.3864829916777563e-01   2.3865222275475517e-01   2.3865638177964987e-01   2.3866077582596618e-01   2.3866540445316997e-01   2.3867026719663748e-01   2.3867536356761898e-01
   2.3867727899273466e-01   2.3868468506573881e-01   2.3869253143021518e-01   2.3870081656569753e-01   2.3870953886208718e-01   2.3871869661919393e-01   2.3872828804625684e-01
   2.3870747221884531e-01   2.3871854133724862e-01   2.3873026217612875e-01   2.3874263132374035e-01   2.3875564516337217e-01   2.3876929987166984e-01   2.3878359141686467e-01
   2.3873748391577704e-01   2.3875216122346632e-01   2.3876769447509105e-01   2.3878407766068088e-01   2.3880130440319591e-01   2.3881936795454234e-01   2.3883826119135942e-01
   2.3876629621643874e-01   2.3878444966822027e-01   2.3880365207884496e-01   2.3882389424951112e-01   2.3884516641128145e-01   2.3886745821754451e-01   2.3889075873604088e-01
   2.3879415892020817e-01   2.3881559621137560e-01   2.3883826134745367e-01   2.3886214147880058e-01   2.3888722294876502e-01   2.3891349128131051e-01   2.3894093116789400e-01
   2.3882221942989340e-01   2.3884669055670593e-01   2.3887255160262350e-01   2.3889978574919285e-01   2.3892837510859322e-01   2.3895830070512974e-01   2.3901367529353956e-01
   2.3884838833413818e-01   2.3887569240637907e-01   2.3890453513123489e-01   2.3893489549232100e-01   2.3896675112155352e-01   2.3903842556529320e-01   2.3915337514179891e-01
   2.3887421020053695e-01   2.3890438753242538e-01   2.3893625318841244e-01   2.3896978166932675e-01   2.3903837002400596e-01   2.3915858481596564e-01   2.3928465693102119e-01
   2.3889567772882114e-01   2.3892874303512612e-01   2.3896364593627067e-01   2.3901258506908463e-01   2.3913676066976797e-01   2.3926729152573711e-01   2.3940417476869069e-01
   2.3891884199823593e-01   2.3895474975686271e-01   2.3899264076822058e-01   2.3910450117031856e-01   2.3923832434682757e-01   2.3937898542087899e-01   2.3952647950979500e-01
   2.3894236126540203e-01   2.3898115197664821e-01   2.3905382956708354e-01   2.3918943420208261e-01   2.3933233589258551e-01   2.3948252825867888e-01   2.3964000427953547e-01
   2.3896043872368061e-01   2.3900174144360886e-01   2.3911482036714293e-01   2.3925809672931508e-01   2.3940907646889764e-01   2.3956775167158817e-01   2.3973411364629826e-01
   2.3897282672400283e-01   2.3902650155550986e-01   2.3916854287186184e-01   2.3931865999521751e-01   2.3947684473562747e-01   2.3964308807356882e-01   2.3981738009396447e-01
   2.3898709692771986e-01   2.3907827743929488e-01   2.3922608102896192e-01   2.3938228794482086e-01   2.3954688949087932e-01   2.3971987605418899e-01   2.3990123702850674e-01
   2.3900123097717196e-01   2.3912788095017767e-01   2.3928060979377619e-01   2.3944202608432597e-01   2.3961212134075183e-01   2.3979088611173838e-01   2.3997830988826285e-01
   2.3902868038249758e-01   2.3917650559612202e-01   2.3933326181216386e-01   2.3949894232889490e-01   2.3967353954752690e-01   2.3985704488006399e-01   2.4004944865036670e-01
   2.3907927963830089e-01   2.3922999149946556e-01   2.3938981834373485e-01   2.3955875486786560e-01   2.3973679489349298e-01   2.3992393126447453e-01   2.4012015573663636e-01
